               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.034129,            0.013011,           0.0018616,             0.97104,                   1,               0.995,              0.6506,            0.027389,           0.0073768,          0.00099191,            0.005941,            0.005941,            0.005941
                 125,            0.037957,            0.012778,           0.0017426,             0.98883,                   1,               0.995,             0.63147,            0.026247,           0.0073771,          0.00088741,            0.005908,            0.005908,            0.005908
                 126,            0.035078,            0.013961,            0.001416,             0.98883,                   1,               0.995,             0.63147,            0.026247,           0.0073771,          0.00088741,            0.005875,            0.005875,            0.005875
                 127,            0.035866,            0.013924,           0.0019886,             0.97233,                   1,               0.995,             0.60205,            0.029522,           0.0075335,          0.00084091,            0.005842,            0.005842,            0.005842
                 128,            0.032918,            0.014221,           0.0012563,             0.99117,                   1,               0.995,             0.75037,            0.023883,             0.00693,          0.00080856,            0.005809,            0.005809,            0.005809
                 129,            0.030252,            0.012799,           0.0011832,             0.99117,                   1,               0.995,             0.75037,            0.023883,             0.00693,          0.00080856,            0.005776,            0.005776,            0.005776
                 130,            0.037408,            0.013366,           0.0014726,             0.99141,                   1,               0.995,             0.66522,            0.025792,           0.0070502,          0.00080721,            0.005743,            0.005743,            0.005743
                 131,            0.032104,            0.013651,           0.0018164,             0.99261,                   1,               0.995,             0.77358,            0.025086,            0.006737,          0.00082593,             0.00571,             0.00571,             0.00571
                 132,            0.029347,            0.011931,           0.0015812,             0.99261,                   1,               0.995,             0.77358,            0.025086,            0.006737,          0.00082593,            0.005677,            0.005677,            0.005677
                 133,            0.033302,            0.012609,           0.0013134,             0.97073,                   1,               0.995,             0.72709,            0.028649,           0.0068228,          0.00086001,            0.005644,            0.005644,            0.005644
                 134,            0.033645,            0.012462,           0.0011655,             0.98126,                   1,               0.995,             0.80097,            0.025481,           0.0066639,          0.00088796,            0.005611,            0.005611,            0.005611
                 135,            0.029596,            0.014112,           0.0012109,             0.98381,                   1,               0.995,             0.79185,            0.023964,           0.0067489,          0.00084306,            0.005578,            0.005578,            0.005578
                 136,            0.034366,            0.014162,           0.0012884,             0.98381,                   1,               0.995,             0.79185,            0.023964,           0.0067489,          0.00084306,            0.005545,            0.005545,            0.005545
                 137,            0.032983,            0.012786,           0.0021469,             0.99399,                   1,               0.995,             0.80067,            0.021636,           0.0066783,          0.00082221,            0.005512,            0.005512,            0.005512
                 138,            0.032367,            0.012666,           0.0011665,             0.99338,                   1,               0.995,             0.73678,            0.023055,           0.0066227,          0.00075052,            0.005479,            0.005479,            0.005479
                 139,            0.031694,            0.012553,           0.0012329,             0.99338,                   1,               0.995,             0.73678,            0.023055,           0.0066227,          0.00075052,            0.005446,            0.005446,            0.005446
                 140,            0.032006,             0.01194,          0.00096687,             0.99309,                   1,               0.995,             0.80277,            0.021867,           0.0066365,          0.00073497,            0.005413,            0.005413,            0.005413
                 141,            0.031861,             0.01263,          0.00095545,              0.7769,                   1,             0.88942,              0.6619,            0.025047,           0.0068642,           0.0006987,             0.00538,             0.00538,             0.00538
                 142,            0.031725,            0.010768,           0.0012082,              0.7769,                   1,             0.88942,              0.6619,            0.025047,           0.0068642,           0.0006987,            0.005347,            0.005347,            0.005347
                 143,            0.029536,            0.011757,          0.00098052,             0.74719,                   1,             0.86756,             0.63993,            0.026997,           0.0069726,          0.00070613,            0.005314,            0.005314,            0.005314
